episode,reward,return,hold_actions,buy_actions,sell_actions
60,1944.4760345037557,19.520264807420062,683,870,667
61,5696.083386427445,56.96083386427444,741,892,587
62,-109.1392409592645,-1.0913924095926397,750,830,640
63,-3793.6366359814283,-37.8971341550866,726,837,657
64,21343.49950261018,213.43499502610177,723,827,670
65,30859.86456692301,308.8569326043988,721,852,647
66,4410.239411176943,44.102394111769414,716,867,637
67,24132.257255237026,241.53833235016404,754,817,649
68,12342.629108929104,123.56752526266193,733,816,671
69,32710.516659886584,327.1051665988658,753,861,606
70,6133.518896339492,61.33518896339491,720,868,632
71,5608.771137718237,56.18637890096496,653,932,635
72,-1319.6089792500807,-13.196089792500809,752,837,631
73,-4766.214433953405,-47.66214433953403,712,846,662
74,66624.54988078,666.2454988078,762,830,628
75,26897.122938972658,268.97122938972655,765,822,633
76,540.9603473646002,5.4096034736460075,734,821,665
77,4158.625392272428,41.67575465889979,711,834,675
78,8109.589413279406,81.21037004690427,710,873,637
79,3650.9514474599873,36.59580605801238,747,867,606
80,-6017.349813191688,-60.14832265663075,718,867,635
81,19570.481650560047,195.7048165056005,708,873,639
82,-6516.552163670243,-65.16552163670262,731,820,669
83,16885.30236551505,169.02297337041935,686,843,691
84,-3063.6894820536336,-30.63689482053634,688,895,637
85,11026.47187932469,110.26471879324689,739,834,647
86,2659.2801600266994,26.672824544753727,736,880,604
87,13697.471558354537,137.12451410502672,711,874,635
88,-436.5816366335621,-4.365816366335529,723,852,645
89,2301.8152323151444,23.09591562919866,734,824,662
90,-3897.278470949025,-38.934207654557675,751,853,616
91,5806.635238176286,58.166270661333044,725,840,655
92,25514.67813432378,255.3712798203141,715,864,641
93,112313.76978698144,1123.1376978698145,701,886,633
94,53301.86590552745,533.4188083242085,732,837,651
95,1639.702525129378,16.470603152820274,724,877,619
96,4250.541993563254,42.5955017030349,731,843,646
97,6802.127648701611,68.12748755992818,753,851,616
98,864.64837960775,8.71516235782499,773,842,605
99,2424.073523248231,24.319271368288,751,824,645
100,9064.101490520476,90.76152456420436,729,868,623
101,22662.92848666323,226.83575661542227,760,833,627
102,10924.14568507425,109.37372438313164,746,841,633
103,-948.8147297514606,-9.488147297514605,719,829,672
104,12196.122189879181,122.10152995986392,717,851,652
105,12871.34621715773,128.85803851758882,768,840,612
106,6334.357023839548,63.34357023839547,720,845,655
107,-235.29264171290833,-2.3529264171290976,737,818,665
108,5886.386709449409,58.96428950601156,786,836,598
109,35924.7983585244,359.24798358524396,714,817,689
110,51540.702561188635,515.4070256118864,744,848,628
111,3090.6792454793376,30.98954239675791,727,872,621
112,10987.515107878698,109.87515107878698,711,839,670
113,6324.655482085651,63.349747655116786,740,856,624
114,-3209.0909790418073,-32.04798250476454,717,876,627
115,20311.733286295133,203.30894203183016,712,867,641
116,27166.595566414457,271.90089638558976,742,847,631
117,23319.260561037583,233.40322622264688,738,844,638
118,6962.041946796893,69.62041946796893,740,879,601
119,19754.665069442268,197.73473847516337,730,815,675
120,4921.48646171045,49.30918761712431,732,857,631
121,-1935.617222762212,-19.30519494872909,706,888,626
122,32607.266770494294,326.3420004711356,771,854,595
123,27550.038315441016,275.50038315441014,761,845,614
