episode,reward,return,hold_actions,buy_actions,sell_actions
0,2672.3163996455824,26.904763445871183,107,109,170
1,-272.81875331123047,-2.728187533112303,111,111,164
2,573.1532212944621,5.731532212944623,122,100,164
3,1553.3298028010795,15.533298028010801,123,110,153
4,4050.043212449669,40.5004321244967,113,108,165
5,3314.4097136484415,33.144097136484405,107,102,177
6,2741.8241826529647,27.600837350752983,102,105,179
7,1623.0840546474792,16.39740406953294,126,109,151
8,6639.939786117571,66.3993978611757,133,92,161
9,1424.4031779124907,14.407748124391206,134,104,148
10,3712.777459052164,37.12777459052163,117,113,156
11,-2299.3140125067803,-22.9931401250678,122,117,147
12,1843.6922351167177,18.60664727920025,126,114,146
13,107.41743849667364,1.0741743849667307,119,110,157
14,-925.089462133792,-9.250894621337924,119,95,172
15,2141.897952726098,21.418979527260973,118,117,151
16,4391.3315887217395,43.91331588721739,128,90,168
17,-607.7288242549657,-5.942693175595471,115,110,161
18,-825.8408515080155,-8.258408515080152,110,103,173
19,4812.605432956632,48.126054329566315,106,120,160
20,-729.7741006697433,-7.297741006697434,104,109,173
21,-894.5597142312945,-8.945597142312945,118,122,146
22,1235.0820621343082,12.350820621343072,112,102,172
23,3287.351897167464,32.87351897167463,118,100,168
24,3964.9710143816774,39.649710143816776,125,112,149
25,2348.2924679814987,23.482924679814985,124,125,137
26,1101.9623543372436,11.178719180460073,113,118,155
27,4216.289160466726,42.162891604667266,118,106,162
28,1789.5564057677493,17.895564057677493,115,108,163
29,2976.964874235815,29.769648742358147,95,110,181
30,-3586.0313326126798,-35.76839854576372,123,112,151
31,351.8973172374208,3.6673200723353894,126,107,153
32,4291.131643254723,42.91131643254722,135,109,142
33,1040.333280454175,10.561545271928408,121,106,159
34,-1610.0317673233167,-15.980086015214512,136,94,156
35,3492.4911371428498,34.9249113714285,128,109,149
36,1675.5540866422252,16.75554086642226,119,96,171
37,1138.5137850592873,11.385137850592875,104,109,173
38,269.23238364497047,2.692323836449706,119,114,153
39,2794.0286545920135,28.1236301814644,124,106,156
40,-2026.0531631952936,-20.260531631952936,109,125,152
41,997.7658218443848,9.977658218443853,118,96,172
42,5233.386842561618,52.33386842561618,105,125,156
43,-1967.7864503557603,-19.56275961569016,130,107,149
44,2964.8304569999527,29.648304569999517,114,121,151
45,-2267.6978238555475,-22.566171202681574,115,111,160
46,1405.030430452165,14.050304304521655,124,104,158
47,5187.354169512144,51.87354169512144,122,120,144
48,3822.7833067585416,38.227833067585415,116,109,161
49,2032.4377996419607,20.496807725178634,125,113,148
50,3437.0638253142497,34.3706382531425,116,103,167
51,629.3080590910795,6.445402899660224,128,110,148
52,4693.277018938972,47.143330826655784,117,101,168
53,-1119.49588823852,-11.067697645657248,118,92,176
54,3343.6754453974263,33.62797475164052,106,129,151
55,3420.92007375884,34.2092007375884,107,112,167
56,4574.420290331751,45.74420290331751,121,116,149
57,-346.5855446867754,-3.4658554468677494,120,92,174
58,5997.101086524626,60.20025583182837,132,109,145
59,5993.829757130286,60.167495658403894,123,111,152
60,538.2454404356431,5.382454404356429,133,107,146
61,7311.687815771995,73.11687815771994,119,101,166
62,340.06707154014475,3.4006707154014437,131,99,156
63,6961.703135604872,69.61703135604871,138,87,161
64,8780.102623162787,87.80102623162787,127,121,138
65,4614.639446852749,46.14639446852748,126,103,157
66,339.48060762283967,3.5429750396893667,126,115,145
67,3669.811536341873,36.69811536341874,124,99,163
68,7493.378175588441,75.18446898187491,129,119,138
69,-2368.718955717057,-23.5778301952141,130,98,158
70,-998.953202335173,-9.860543360895079,126,91,169
71,3003.7325711928406,30.03732571192841,118,105,163
72,3069.853647269869,30.885832792600375,137,95,154
73,2659.488441534093,26.594884415340925,114,114,158
74,1620.4933054764915,16.371459451333447,119,101,166
75,-722.3978052722232,-7.0910262389161645,122,90,174
